Time,Open,High,Low,Close,Close_eurjpy,Close_audjpy,Close_gbpjpy
2023/1/26 17:00,129.688,129.778,129.604,129.763,141.178,92.391,160.835
2023/1/26 18:00,129.762,129.922,129.686,129.856,141.2,92.311,160.856
2023/1/26 19:00,129.86,130.154,129.86,130.02,141.286,92.397,160.951
2023/1/26 20:00,130.02,130.056,129.897,129.98,141.334,92.491,160.927
2023/1/26 21:00,129.98,130.262,129.82,130.18,141.501,92.45,161.021
2023/1/26 22:00,130.184,130.265,129.881,129.963,141.315,92.322,160.832
2023/1/26 23:00,129.961,130.001,129.715,129.906,141.467,92.39,160.84
2023/1/27 0:00,129.906,129.958,129.746,129.85,141.323,92.254,160.628
2023/1/27 1:00,129.851,129.868,129.661,129.824,141.367,92.34,160.642
2023/1/27 2:00,129.823,129.971,129.743,129.907,141.327,92.323,160.692
2023/1/27 3:00,129.908,129.996,129.812,129.87,141.125,92.248,160.582
2023/1/27 4:00,129.869,129.932,129.557,129.735,140.917,92.225,160.453
2023/1/27 5:00,129.734,130.065,129.637,129.884,141.118,92.307,160.816
2023/1/27 6:00,129.882,130.042,129.776,129.98,140.879,92.184,160.624
2023/1/27 7:00,129.98,129.991,129.79,129.939,141.062,92.271,160.818
2023/1/27 8:00,129.938,129.959,129.82,129.911,141.169,92.309,160.974
2023/1/27 9:00,129.911,129.949,129.868,129.917,141.166,92.3,160.948
2023/1/27 10:00,129.916,129.937,129.871,129.904,141.183,92.37,160.983
2023/1/27 11:00,129.905,129.925,129.857,129.875,141.11,92.313,160.916
2023/1/27 12:00,129.877,129.89,129.789,129.801,141.114,92.251,160.937
2023/1/29 13:00,129.685,129.848,129.616,129.808,141.041,92.157,160.824
2023/1/29 14:00,129.803,129.89,129.732,129.834,141.151,92.284,160.99
2023/1/29 15:00,129.835,130.139,129.833,130.079,141.455,92.608,161.285
2023/1/29 16:00,130.082,130.289,130.056,130.22,141.599,92.632,161.369
2023/1/29 17:00,130.225,130.264,130.026,130.07,141.37,92.231,161.163
2023/1/29 18:00,130.071,130.138,129.909,129.909,141.194,92.044,160.964
2023/1/29 19:00,129.91,129.92,129.2,129.477,140.818,91.83,160.589
2023/1/29 20:00,129.477,129.749,129.401,129.637,140.897,91.871,160.694
2023/1/29 21:00,129.636,129.649,129.453,129.588,140.757,91.892,160.587
2023/1/29 22:00,129.589,129.676,129.412,129.581,140.717,91.771,160.408
2023/1/29 23:00,129.583,130.181,129.583,130.125,141.589,92.06,160.969
2023/1/30 0:00,130.127,130.141,129.893,129.967,141.683,91.983,161.056
2023/1/30 1:00,129.966,129.991,129.85,129.866,141.693,92.074,161.154
2023/1/30 2:00,129.866,130.255,129.866,130.17,141.833,92.088,161.204
2023/1/30 3:00,130.17,130.187,130,130.07,141.823,92.087,161.151
2023/1/30 4:00,130.069,130.208,129.965,130.135,141.667,92.043,161.031
2023/1/30 5:00,130.134,130.351,130.094,130.264,141.874,92.137,161.202
2023/1/30 6:00,130.265,130.402,130.176,130.313,141.665,92.272,161.326
2023/1/30 7:00,130.313,130.469,130.294,130.347,141.631,92.22,161.26
2023/1/30 8:00,130.347,130.415,130.306,130.412,141.593,92.201,161.224
2023/1/30 9:00,130.412,130.444,130.344,130.42,141.566,92.176,161.153
2023/1/30 10:00,130.418,130.567,130.4,130.554,141.596,92.133,161.178
2023/1/30 11:00,130.555,130.556,130.426,130.462,141.493,92.086,161.095
2023/1/30 12:00,130.463,130.468,130.404,130.405,141.536,92.017,161.069
2023/1/30 13:00,130.405,130.432,130.341,130.367,141.47,91.969,161.025
2023/1/30 14:00,130.367,130.53,130.356,130.482,141.568,92.093,161.136
2023/1/30 15:00,130.48,130.504,130.269,130.299,141.423,91.874,161.064
2023/1/30 16:00,130.298,130.305,130.11,130.129,141.286,91.819,160.926
2023/1/30 17:00,130.13,130.2,130.059,130.182,141.271,91.756,160.885
2023/1/30 18:00,130.18,130.265,130.146,130.242,141.238,91.617,160.756
2023/1/30 19:00,130.24,130.403,130.164,130.314,141.343,91.707,160.833
2023/1/30 20:00,130.313,130.331,130.133,130.184,141.049,91.534,160.62
2023/1/30 21:00,130.184,130.273,130.143,130.254,141.18,91.602,160.806
2023/1/30 22:00,130.251,130.308,130.039,130.145,141.125,91.56,160.711
2023/1/30 23:00,130.145,130.407,130.072,130.384,140.852,91.346,160.493
2023/1/31 0:00,130.385,130.43,130.229,130.39,141.209,91.42,160.706
2023/1/31 1:00,130.394,130.483,130.338,130.395,141.122,91.117,160.557
2023/1/31 2:00,130.394,130.457,130.312,130.432,141.335,91.267,160.759
2023/1/31 3:00,130.438,130.494,130.339,130.432,141.207,91.217,160.447
2023/1/31 4:00,130.431,130.44,129.804,129.891,140.946,91.261,160.038
2023/1/31 5:00,129.888,129.973,129.761,129.842,140.844,91.215,159.929
2023/1/31 6:00,129.844,130.218,129.743,130.036,141.22,91.604,160.004
2023/1/31 7:00,130.037,130.22,130.003,130.177,141.334,91.761,160.402
2023/1/31 8:00,130.178,130.353,130.178,130.194,141.457,91.765,160.467
2023/1/31 9:00,130.194,130.23,130.095,130.137,141.49,91.843,160.471
2023/1/31 10:00,130.135,130.202,130.065,130.173,141.411,91.816,160.411
2023/1/31 11:00,130.159,130.228,130.126,130.134,141.477,91.859,160.425
2023/1/31 12:00,130.133,130.189,130.07,130.07,141.315,91.731,160.227
2023/1/31 13:00,130.07,130.082,130.042,130.069,141.288,91.705,160.173
2023/1/31 14:00,130.069,130.129,130.038,130.111,141.308,91.741,160.14
2023/1/31 15:00,130.109,130.201,129.858,129.922,141.124,91.573,159.937
2023/1/31 16:00,129.921,130.02,129.87,130.017,141.158,91.673,160.053
2023/1/31 17:00,130.017,130.111,129.984,130.018,141.118,91.524,160.029
2023/1/31 18:00,130.023,130.07,129.98,130.01,141.223,91.726,160.084
2023/1/31 19:00,130.01,130.268,130.004,130.25,141.525,92.049,160.403
2023/1/31 20:00,130.251,130.321,130.204,130.292,141.642,92.061,160.445
2023/1/31 21:00,130.292,130.323,130.189,130.272,141.598,92.082,160.524
2023/1/31 22:00,130.273,130.408,130.144,130.175,141.63,92.091,160.365
2023/1/31 23:00,130.174,130.234,129.921,129.941,141.468,91.964,160.09
2023/2/1 0:00,129.942,129.98,129.8,129.876,141.34,91.803,159.963
2023/2/1 1:00,129.875,129.963,129.777,129.823,141.403,91.875,159.986
2023/2/1 2:00,129.823,129.853,129.711,129.807,141.389,91.883,160.005
2023/2/1 3:00,129.806,129.862,129.664,129.846,141.417,91.89,160.029
2023/2/1 4:00,129.846,129.858,129.308,129.377,141.071,91.668,159.64
2023/2/1 5:00,129.376,129.539,129.297,129.315,140.994,91.59,159.555
2023/2/1 6:00,129.314,129.68,129.18,129.251,141.138,91.448,159.295
